start/end,11756756,
BreathDetected,11758063,73.45065034
BreathDetected,11759465,68.47360913
BreathDetected,11760943,64.9526387
BreathDetected,11762545,59.92509363
BreathDetected,11764144,60.03752345
BreathDetected,11765744,60
BreathDetected,11767346,59.92509363
BreathDetected,11769024,57.21096544
BreathDetected,11770823,53.36297943
BreathDetected,11772623,53.33333333
BreathDetected,11774423,53.33333333
BreathDetected,11776223,53.33333333
BreathDetected,11777603,69.56521739
BreathDetected,11778383,123.0769231
BreathDetected,11779183,120
BreathDetected,11779983,120
BreathDetected,11780783,120
BreathDetected,11781786,95.71286142
BreathDetected,11782983,80.20050125
BreathDetected,11784183,80
BreathDetected,11785383,80
BreathDetected,11786587,79.73421927
BreathDetected,11787864,75.17619421
BreathDetected,11789263,68.62044317
BreathDetected,11790663,68.57142857
BreathDetected,11792063,68.57142857
BreathDetected,11793463,68.57142857
BreathDetected,11794943,64.86486486
BreathDetected,11796543,60
BreathDetected,11798143,60
BreathDetected,11799743,60
BreathDetected,11801343,60
BreathDetected,11803023,57.14285714
start/end,11804754,
,,33
,,68.47360913
