start/end,11700307,
BreathDetected,11702023,55.94405594
BreathDetected,11703823,53.33333333
BreathDetected,11705623,53.33333333
BreathDetected,11707427,53.21507761
BreathDetected,11708803,69.76744186
BreathDetected,11709583,123.0769231
BreathDetected,11710383,120
BreathDetected,11711183,120
BreathDetected,11711983,120
BreathDetected,11712783,120
BreathDetected,11713786,95.71286142
BreathDetected,11714983,80.20050125
BreathDetected,11716183,80
BreathDetected,11717383,80
BreathDetected,11718586,79.80049875
BreathDetected,11719865,75.05863956
BreathDetected,11721263,68.6695279
BreathDetected,11722663,68.57142857
BreathDetected,11724063,68.57142857
BreathDetected,11725463,68.57142857
BreathDetected,11726963,64
BreathDetected,11728563,60
BreathDetected,11730143,60.75949367
BreathDetected,11731743,60
BreathDetected,11733343,60
BreathDetected,11735023,57.14285714
BreathDetected,11736823,53.33333333
BreathDetected,11738623,53.33333333
BreathDetected,11740423,53.33333333
BreathDetected,11742223,53.33333333
BreathDetected,11743603,69.56521739
BreathDetected,11744383,123.0769231
BreathDetected,11745183,120
BreathDetected,11745983,120
BreathDetected,11746783,120
BreathDetected,11747783,96
start/end,11748306,
,,36
,,69.11737264
